0,1,2,3,4
-0 . 47,1 . 45,1 . 43,0 . 10,98 . 57
6 . 00,"2 , 73","2 , 66","0 , 19",97 . 34
19 . 95,"7 , 26","6 ,  7 7","0 , 51",93 . 23
22 . 77,"8 , 93","8 , 20",0 . 63,91.80
24 . 15,"9 , 53","8 , 70",0 . 67,91 . 30
2 5 . 7 5,"10 , 90","9 ,83",o .  7 7,"90 , 17"
2 7 . 80,14 . 16,"12 , 40",1 . 00,8 7 . 60
28 . 65,15 .87,13 . 70,1 . 12,8 6 . 30
2 9 . 05,16 . 04,"13 , 82",1 . 13,8 6 . 18
29.50,17 . 18,"14 , 6 6",1 . 21,8 5.34
30 . 10,19 . 45,"16 , 28",1 . 37,83 . 7 2
30 . 90,2 0.08,16. 72,1 . 41,83 . 28
32.50,"22 , 57",18 . 41,1.59,81 . 57
33.7 0,24 . 63,"19 , 7 6",1 .  73,80 . 24
34 . 70,2 9 . 7 5,"22 , 93",2 . 09,7 7. 07
3 6 . 50,31 . 15,2 3 . 7 5,"2 , 19",7 6 . 2 5
4 0 . 02,"3 5 , 56","2 6 , 23","2 , 50",73 . 7 6
