0,1,2,3,4,5,6,7,8,9,10
0.0014,0.0073,16.2,83.8,,,0.20,0.18,99.62,0.01,0.04
0.0010,0.0079,11.8,88.2,,,0.14,0.14,99.62,0.01,0.06
0.0010,0.0082,11.4,88.6,,,0.14,0.25,99.61,0.01,0.06
0.0008,0.0086,"8,3",91.7,,,0.11,0.28,99.61,0.01,0.07
,,,,temp •,,57 3 K,,,,
0.0147,0.0475,23.6,76.4,,,2.09,o .72,97.19,0.15,0.19
"0,0146",0.047 3,23.6,76.4,,,2.07,0.72,97.20,0.15,0.19
0.0132,0.0485,21.4,78.6,,,1.88,0.88,97.24,0.14,0.23
"0,0123",0.0483,20.3,79.7,,,1.75,0.95,97.30,"0,13",0.24
0.0112,0.0446,"20,1",79.9b,,,1.59,0.89,"97,52",0.11,0.26
"0,0118",0.0491,"19,4",80.6,,,1.68,1.02,"97,30",0.12,0.26
"0,0098",0.0507,16.2,83.8,,,1.39,1.24,97.36,0.10,0.32
,,,,temp ..,,523 K,,,,
"0,0542",0.1641,24.8,75.2,,,7.70,2.23,90.07,0.60,0.62
"0,0484",0.1527,"24,0","76,0",,,6.88,"2,24","90,88",0.53,0.61
"0,0480",0.2547,"23,7",76.3,,,6.82,"2,35",90.83,0.53,0.65
