0,1,2,3,4,5,6,7,8,9,10,11,12
K mass% HP02,,b mo1/kg 4,,a,KC1mass%,mol/kl,,H mass% 2 o,,,solidphase,
,,,,,temp .,,• 25•c .,,,,,
0,,0,,,26.4,,"4,81",73.6,,,,
0,,0,,,26.6,,4.86,73.4,,,I I,
1.3,,0.10,,,26.0,,"4,79",72.7,,,ti,
2.0,,0.15,,,24.8,,4.54,73.2,,,I I,
2.1,,0.16,,,24.2,,4.40,73.7,,,t i,
"15,7",,1.36,,,"18,1",,"3,66",66.2,,,I I,
"20,2",,1.83,,,"16,6",,"3,52",63.2,,,t i,
"17,3",,1.49,,,16.3,,"3,29",66.4,,,I f,
"17,5",,1.49,,,"15,5",,"3,10",67.0,,,I I,
26.4,,2.49,,,12.9,,"2,85",60.7,,,I I,
31.5,,3.15,,,11.2,,"2,62",57.3,,,I I,
42.2,,"5,05",,,"9,9",,"2,77",48.0,,,I I,
"38,3",,4.17,,,"9,0",,"2,29",52.7,,,I f,
"42,2",,4.83,,,7.7,,"2,06",50. l,,,A +,B
44.4,,5.34,,,7.9,,"2,22",47.7,,,B,
46.8,,"5,79",,,"6,8",,"l,96",46.4,,,I I,
"50,9",,6.81,,,6.2,,1.93,42.9,,,I I,
59.0,,8.77,,,2.4,,0.83,38.6,,,B + C,
61.8,,"9,93",,,"2,5",,"0,93",35.7,,,C,
66.4,,12.10,,,"2,1",,0.89,I I  31.5,,,,
62.6,,10.15,,,"2,0",,"0,75",35.4,,,J I,
"66,5",,12.11,,,"2,0",,"0,85","32,5",,,I I,
