0,1,2,3,4,5,6,7
- 0.35,,-,-,2.38,0.123,Ice,+A
0.0,,2.39,2.46,2.42,0.125,,A
+10.0,,4.39,4.40,4.39,0.232,,""""
15.0,,5.87,5.88,5.88,0.316,,""""
19.85,,-,-,7.83,0.429,,A+B
20.0,,7.87,7.82,7.84,0.430,,B
25.0,,8.65,8.66,8.66,0.479,,""""
30.0,,9.63,9.63,9.63,0.538,,""""
35.0,,10.58,10.55,10.57,0.597,,""""
40.0,,11.70,11. 71,11. 71,0.670,,""""
49.9,,14.13,13.99,14.06,0.827,,""""
57.8,,15.97,15.86,15.91,0.9560,,""""
69.6,,19.05,19.00,19.03,1.188,,""""
73.4,,-,-,20.00,1.263,,B+C
79.0,,21.91,21. 74,21.82,1.41,,B(m)
67.0,,18.98,19.10,19.04,1.188,,C(m)
70.6,,19.55,19.57,19.56,1.229,,""""
75.8,,20.48,20.49,20.49,1.302,,C
80.6,,21. 22,21.26,21.24,1. 363,,""""
87.6,,22.12,22.32,22.22,1.444,,""""
90.3,,23.02,23.02,23.03,1.512,,""""
