0,1,2,3
-0.412,0.1205,0.8904,""""
-0.425,0.1246,0.n04,""""
-0.616,0.1816,1.3359,""""
-0.803,0.2381,1.7442,""""
-0.913,0.2710,1.9805,""""
-1.007,0.2998,2.1863,""""
-3.347,0.4042,2.9254,""""
-1.511,0.4549,3.2803,""""
-1.723,0.5204,3.7350,""""
-1.992,0.6047,4.3140,""""
-2.303,0.70J3,4.9689,""""
-2.577,0.7856,5.5331,""""
-2.719,0.8303,5.8296,""""
-3.001,0.9182,6.4072,""""
-3.328,J.020,7.0674,n
-3.618,1.112,7.6560,""""
-3.960,1.220,8.3376,""""
-4.230,1.304,8.8608,""""
-4.528,1.397,9.4331,n
-4.804,1.484,9.9620,""""
-5.208,1.608,10.705,""""
-5.223,1.615,10.747,""""
-5.519,1.704,11.272,""""
-5.757,1.778,11.705,""""
-5.882,1.818,IJ.937,""""
